energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,name
0.331,0.0927,100.064,0.0342,0.843,0.568,4,0.378,5,213948,-15.463,0.0655,1,audio_features,spotify:track:4GjD33yTih7RqvGkH9C9wO,From Gold
0.539,0.117,146.526,0.043,0.88,0.0065,4,0.402,0,253013,-11.062,0.371,1,audio_features,spotify:track:1vyrrrnb7182SL6iOMor3O,Youth
0.85,0.149,78.045,0.0383,0.00369,0.0,4,0.401,0,220587,-2.956,0.375,1,audio_features,spotify:track:03WmeqPnjaBnm4lfwm8v8z,Stardust
0.694,0.108,77.539,0.0709,0.0158,0.0,4,0.575,1,196533,-5.675,0.442,1,audio_features,spotify:track:3YQ96qkxiEwTLwgu2Izcmq,Kamikaze
0.843,0.343,171.978,0.0413,0.000352,2.87e-06,4,0.491,0,228867,-4.962,0.8,1,audio_features,spotify:track:2CCaFbnGcOkSZIkgdmvXcP,My Paper Heart
0.595,0.0737,124.972,0.0276,0.357,0.0129,4,0.651,0,265268,-9.373,0.414,1,audio_features,spotify:track:7fHPJ9WWKDoTBUkktuIjRm,First Light
0.716,0.0421,122.976,0.0478,0.00236,2.09e-06,4,0.667,7,204878,-5.693,0.44,1,audio_features,spotify:track:2fZZPs9gwlUoAMJRayBWMk,broken
0.758,0.103,91.998,0.0314,0.191,0.097,4,0.646,10,249067,-4.34,0.424,1,audio_features,spotify:track:3498wF96LsgVgMkGmJzJOC,When I'm Small
0.543,0.107,126.001,0.0398,0.623,0.0706,4,0.752,1,233280,-9.483,0.282,1,audio_features,spotify:track:044qU7kwVZaDwzWnRsmVVL,I Dare You
0.313,0.593,92.975,0.0285,0.115,0.237,3,0.243,3,258973,-12.069,0.22,1,audio_features,spotify:track:7H8fBamGUheu0DSpp3pj03,Medicine
0.597,0.124,84.979,0.0279,0.118,0.00283,4,0.636,8,201398,-6.884,0.639,0,audio_features,spotify:track:1J5rHMEvQFpM07iLULi48A,back again
0.811,0.283,80.008,0.0392,0.0648,0.00323,4,0.569,2,179867,-5.912,0.823,1,audio_features,spotify:track:0EkUyOK86EFRcuoxATBZ1C,Young Presidents
0.868,0.0575,147.979,0.0375,0.0486,0.0,4,0.49,10,217680,-3.943,0.472,1,audio_features,spotify:track:1isQMKYmpvJ4tOP8R2qkWr,Drugs & Candy
0.594,0.147,99.962,0.0775,0.578,0.0,4,0.62,11,190867,-6.678,0.312,0,audio_features,spotify:track:5SwEgzUFDHwpWHKrbnP32Z,Youth feat. Khalid
0.844,0.318,194.0,0.144,0.0131,0.0,4,0.381,5,223880,-7.123,0.239,1,audio_features,spotify:track:1MSM3Fo2fvnwVqMcz8Jhjq,Cecilia And The Satellite
0.273,0.0897,110.623,0.0305,0.938,4.06e-05,3,0.418,0,273467,-8.887,0.0585,1,audio_features,spotify:track:46Vogr8UvzcVPAgDvBpDIr,Appointments
0.57,0.101,141.888,0.0989,0.0222,0.0,4,0.704,5,206813,-7.136,0.524,1,audio_features,spotify:track:6JH9yWhgbm0y9iAJhCslNc,Handlebars
0.262,0.104,102.198,0.027,0.873,0.81,4,0.553,11,127161,-14.089,0.0939,1,audio_features,spotify:track:0nXudS0m0bjyZlYhcUmdxX,Madeline
0.916,0.36,92.432,0.0324,0.0241,0.000402,4,0.509,2,218787,-2.793,0.672,1,audio_features,spotify:track:3IXRdLsQib8m0hBbQpe7T8,Hang Me Up To Dry
0.891,0.12,86.015,0.0419,0.00143,0.00025,4,0.533,4,167000,-5.758,0.489,1,audio_features,spotify:track:5kNHtMn6zP6embphzImOtl,Georgia
0.375,0.0846,77.325,0.028,0.7,0.000428,4,0.384,3,211307,-9.266,0.289,1,audio_features,spotify:track:36xYVBSCz4KQEcb9m3RHT5,Dead Hearts
